date,RSNA
3/31/2015,2386.58578
4/30/2015,2405.273501
5/31/2015,2422.71371
6/30/2015,2440.732457
7/31/2015,2449.784467
8/31/2015,2463.399918
9/30/2015,2470.26969
10/31/2015,2475.803187
11/30/2015,2470.715491
12/31/2015,2461.873106
1/31/2016,2457.424614
2/29/2016,2458.967237
3/31/2016,2466.620655
4/30/2016,2475.006714
5/31/2016,2487.907699
6/30/2016,2503.046478
7/31/2016,2512.331401
8/31/2016,2515.697593
9/30/2016,2517.262497
10/31/2016,2512.303863
11/30/2016,2507.025158
12/31/2016,2496.784727
1/31/2017,2492.825735
2/28/2017,2493.577459
3/31/2017,2499.800834
4/30/2017,2512.312296
5/31/2017,2528.656377
6/30/2017,2544.914865
7/31/2017,2558.600652
8/31/2017,2563.142337
9/30/2017,2562.838312
10/31/2017,2553.875872
11/30/2017,2540.054863
12/31/2017,2529.70042
1/31/2018,2522.420045
2/28/2018,2524.076194
3/31/2018,2530.252353
4/30/2018,2544.772067
5/31/2018,2563.343236
6/30/2018,2580.628561
7/31/2018,2596.176157
8/31/2018,2606.626041
9/30/2018,2609.668637
10/31/2018,2604.728317
11/30/2018,2593.87261
12/31/2018,2582.59929
1/31/2019,2576.109079
2/28/2019,2581.364951
3/31/2019,2595.012841
4/30/2019,2609.830957
5/31/2019,2631.284847
6/30/2019,2651.65925
7/31/2019,2671.611246
8/31/2019,2676.300303
9/30/2019,2672.715227
10/31/2019,2667.091274
11/30/2019,2655.640825
12/31/2019,2646.11418
1/31/2020,2641.921368
2/29/2020,2655.239587
3/31/2020,2669.930964
4/30/2020,2666.145011
5/31/2020,2647.246793
6/30/2020,2622.064475
7/31/2020,2598.074897
8/31/2020,
9/30/2020,
10/31/2020,2453.822612
11/30/2020,2422.758457
12/31/2020,2407.499538
1/31/2021,2403.873138
2/28/2021,2406.616184
3/31/2021,2425.263576
4/30/2021,2456.26398
5/31/2021,2504.97747
6/30/2021,2560.16787
7/31/2021,2623.209195
8/31/2021,2683.400968
9/30/2021,2734.92274
10/31/2021,2767.697434
11/30/2021,2789.045326
12/31/2021,2806.957799
1/31/2022,2827.029935
2/28/2022,2862.898623
3/31/2022,2904.867319
4/30/2022,2957.875076
5/31/2022,3017.668773
6/30/2022,3079.743085
7/31/2022,3133.665788
8/31/2022,3157.542046
9/30/2022,3154.523579
10/31/2022,3131.359562
11/30/2022,3099.155451
12/31/2022,3075.999271
1/31/2023,3068.361445
2/28/2023,3083.935335
