date,ZABT,ZATT,ZSFH,RSNA,NYTPOP,ACTLISCOU35620,NEWLISCOU35620,PENLISCOU35620,PRIREDCOU35620,NEWY636BPPRIV,SMU36356204200000001,SMU36356200500000001SA,SMU36356204300000001SA,ENUC356230010SA,NEWY636PCPI,SMU36356200500000003,SMU36356200500000002,SMU36356200500000011,LAUMT363562000000005,NEWY636URN,NEWY636NA,NEWY636LFN,NEWY636NRMN,NEWY636PBSV,NEWY636FIRE,NEWY636MFG,NEWY636EDUH,NEWY636LEIH,CUURA101SA0,CUURA101SAF11,CUURA101SAF,CUURA101SA0E,CUURA101SEHF01,CUURA101SAT,CUURA101SAM,CUURA101SAR,CUURA101SAF116,CUURA101SAA,CUURA101SANL1,CUURA101SS47016,PSAVERT,MICH,FEDFUNDS,T10Y2Y,T10Y3M
2016-08-31,263665.0,763908.0,421874.0,2515.697593,19336.456000000002,71440.0,21816.0,9263.0,12840.0,2939.0,957.5,8214.298125990741,351.007861800897,166963434382.858,65932.0,30.04,33.9,1018.36,9497224.0,4.8,9544.4,9977365.0,387.43395415304497,1510.40805292195,769.888469176839,367.708425117443,1860.72875586094,893.148210424931,263.722,249.377,256.92400000000004,179.845,185.91,210.15,468.74300000000005,118.985,254.813,121.57600000000001,178.91299999999998,194.696,6.8,2.7,0.39,0.79,1.18
2016-09-30,264317.0,765390.0,422882.0,2517.2624969999997,19336.456000000002,69427.0,17092.0,9077.0,11850.0,4275.0,955.2,8245.178713685029,352.03649159903296,171225578974.706,65932.0,30.27,34.1,1032.21,9518803.0,5.2,9572.6,10041467.0,388.947224782582,1513.9187124705,770.558535109549,367.874064849057,1867.58201953136,898.427684614302,264.16,249.074,256.834,175.157,184.396,207.419,469.394,119.552,254.393,129.847,180.747,188.48,6.8,2.5,0.4,0.78,1.25
2016-10-31,265031.0,767025.0,423987.0,2512.303863,19336.456000000002,67715.0,19382.0,8934.0,12878.0,4258.0,954.3,8257.41605028899,352.487135384969,171225578974.706,65932.0,30.65,34.0,1042.1,9469850.0,5.1,9586.2,9974981.0,390.839491248865,1518.2533108395098,771.5190183751221,367.716376276427,1873.1234128194296,898.5541844246152,264.60200000000003,249.354,257.29200000000003,176.174,184.46400000000003,206.707,471.327,119.874,254.87900000000002,133.232,183.62,190.183,6.8,2.4,0.4,0.83,1.31
2016-11-30,265862.0,768939.0,425312.0,2507.025158,19336.456000000002,66569.0,16736.0,8943.0,11808.0,2559.0,948.1,8273.93557558975,354.36594861517,171225578974.706,65932.0,30.56,34.0,1039.04,9414809.0,4.9,9607.7,9898963.0,391.224453684254,1524.89924099252,770.063627571599,367.02339713610803,1881.8845030594198,902.085965603674,264.738,248.197,257.031,173.699,173.56799999999998,208.662,470.983,120.14200000000001,255.12599999999998,130.743,183.239,192.31400000000002,6.9,2.4,0.4,0.98,1.5
2016-12-31,266632.0,770934.0,426762.0,2496.7847269999997,19336.456000000002,62162.0,15042.0,9062.0,9930.0,3483.0,960.4,8271.10526826568,356.157140667185,166128397727.072,65932.0,31.04,34.2,1061.57,9441197.0,4.8,9595.9,9913511.0,389.88238834820197,1519.51057132223,769.65810830425,367.61738323296095,1878.83024207294,899.227182484807,265.203,248.012,257.20799999999997,178.32299999999998,173.266,211.25,470.574,121.09200000000001,256.281,124.428,182.22099999999998,202.14,7.0,2.4,0.41,1.26,1.89
2017-01-31,267494.0,773080.0,428306.0,2492.8257350000003,19325.115,55645.0,10668.0,8938.0,5872.0,4709.0,991.3,8279.35711593168,356.4969996042189,166128397727.072,65932.0,30.61,33.8,1034.62,9451281.0,4.4,9605.8,9881169.0,390.771650248265,1521.50475957456,770.14354205037,367.183868922333,1883.25206524568,904.873141642998,265.421,247.75400000000002,257.012,183.11599999999999,176.861,210.671,470.69800000000004,121.369,254.82299999999998,119.92399999999999,181.856,202.83700000000002,6.5,2.2,0.54,1.25,1.94
2017-02-28,268287.0,775191.0,429829.0,2493.577459,19325.115,51426.0,16844.0,8655.0,7174.0,5524.0,1006.6,8299.58228914813,357.55612588051,166128397727.072,65932.0,30.54,34.1,1041.41,9465056.0,4.2,9624.6,9884189.0,391.78911464411794,1525.41720368461,771.054427780016,367.311280466399,1889.6567492986496,906.4255988445308,266.91700000000003,249.82,258.30400000000003,187.773,174.82299999999998,212.861,474.449,120.82799999999999,253.983,127.022,186.601,209.641,6.9,2.6,0.65,1.26,1.93
2017-03-31,269261.0,777710.0,431475.0,2499.800834,19325.115,53539.0,21342.0,8685.0,7404.0,2725.0,957.3,8323.906071897909,359.96779637821504,172735197913.704,69536.0,31.53,33.9,1068.87,9719117.0,4.8,9648.8,10213388.0,394.023819160736,1527.34579568814,771.7878524205811,366.8555598365931,1896.79115522143,911.7248980235539,267.66200000000003,249.87400000000002,258.137,188.16099999999997,178.298,213.382,474.26199999999994,123.301,254.398,130.424,186.875,207.12099999999998,7.2,2.7,0.66,1.14,1.83
2017-04-30,270457.0,780833.0,433431.0,2512.312296,19325.115,56343.0,22134.0,9131.0,8902.0,3699.0,937.1,8338.687442863249,361.757015892296,172735197913.704,69536.0,31.53,33.3,1049.95,9759720.0,4.9,9663.5,10259384.0,395.388212609934,1529.92082347055,773.908313150795,366.566994044956,1901.51588099414,915.304311138961,267.582,250.68900000000002,259.42400000000004,185.553,176.237,211.912,476.228,123.262,254.0,133.045,187.88400000000001,204.31799999999998,7.2,2.5,0.79,1.13,1.64
2017-05-31,271538.0,783190.0,435102.0,2528.656377,19325.115,59031.0,26088.0,9573.0,10260.0,4285.0,936.4,8335.373082619159,363.16020789202906,172735197913.704,69536.0,31.47,33.2,1044.8,9855134.0,4.3,9665.7,10302104.0,395.128411733486,1529.04007220059,775.5932541394769,366.441782597796,1905.5435740312,914.7357786930701,267.948,252.61900000000003,260.491,187.875,174.61900000000003,214.862,471.473,123.86,253.582,130.086,186.345,208.24400000000003,7.3,2.5,0.9,1.01,1.49
